Date,Spot
"sep 20, 2002",28.32
"sep 27, 2002",29.17
"oct 04, 2002",28.89
"oct 11, 2002",28.17
"oct 18, 2002",28.45
"oct 25, 2002",26.62
"nov 01, 2002",25.55
"nov 08, 2002",24.3
"nov 15, 2002",23.4
"nov 22, 2002",24.16
"nov 29, 2002",25.19
"dic 06, 2002",25.91
"dic 13, 2002",26.84
"dic 20, 2002",29.56
"dic 27, 2002",31.01
"ene 03, 2003",30.97
"ene 10, 2003",30.37
"ene 17, 2003",31.48
"ene 24, 2003",31.81
"ene 31, 2003",31.2
"feb 07, 2003",31.58
"feb 14, 2003",32.79
"feb 21, 2003",33
"feb 28, 2003",33.72
"mar 07, 2003",34.11
"mar 14, 2003",33.72
"mar 21, 2003",28.18
"mar 28, 2003",26.95
"abr 04, 2003",26.93
"abr 11, 2003",24.96
"abr 18, 2003",24.92
"abr 25, 2003",24.66
"may 02, 2003",23.55
"may 09, 2003",24.31
"may 16, 2003",26.21
"may 23, 2003",27.19
"may 30, 2003",26.56
"jun 06, 2003",27.92
"jun 13, 2003",28.38
"jun 20, 2003",26.88
"jun 27, 2003",27.19
"jul 04, 2003",28.4
"jul 11, 2003",28.42
"jul 18, 2003",28.74
"jul 25, 2003",28.02
"ago 01, 2003",28.52
"ago 08, 2003",30.19
"ago 15, 2003",29.6
"ago 22, 2003",29.7
"ago 29, 2003",30.12
"sep 05, 2003",28.16
"sep 12, 2003",27.57
"sep 19, 2003",25.9
"sep 26, 2003",26.49
"oct 03, 2003",28.38
"oct 10, 2003",29.88
"oct 17, 2003",31
"oct 24, 2003",29.66
"oct 31, 2003",28.46
"nov 07, 2003",28.05
"nov 14, 2003",29.01
"nov 21, 2003",29.61
"nov 28, 2003",28.34
"dic 05, 2003",28.93
"dic 12, 2003",30.17
"dic 19, 2003",30.87
"dic 26, 2003",28.84
"ene 02, 2004",29.78
"ene 09, 2004",31.5
"ene 16, 2004",31.7
"ene 23, 2004",31.88
"ene 30, 2004",30.39
"feb 06, 2004",29.66
"feb 13, 2004",30.12
"feb 20, 2004",31.39
"feb 27, 2004",32.27
"mar 05, 2004",33.73
"mar 12, 2004",33.36
"mar 19, 2004",34.56
"mar 26, 2004",33.59
"abr 02, 2004",32.23
"abr 09, 2004",32.75
"abr 16, 2004",33.95
"abr 23, 2004",33.7
"abr 30, 2004",34.64
"may 07, 2004",36.38
"may 14, 2004",37.62
"may 21, 2004",38.43
"may 28, 2004",37.95
"jun 04, 2004",37.25
"jun 11, 2004",35.34
"jun 18, 2004",35.09
"jun 25, 2004",34.71
"jul 02, 2004",34
"jul 09, 2004",36.51
"jul 16, 2004",37.76
"jul 23, 2004",39.05
"jul 30, 2004",40.66
"ago 06, 2004",42.01
"ago 13, 2004",43.16
"ago 20, 2004",44.56
"ago 27, 2004",42.23
"sep 03, 2004",41
"sep 10, 2004",40.6
"sep 17, 2004",41.55
"sep 24, 2004",45.3
"oct 01, 2004",47.11
"oct 08, 2004",48.09
"oct 15, 2004",50.96
"oct 22, 2004",50.5
"oct 29, 2004",50.15
"nov 05, 2004",45.78
"nov 12, 2004",42.83
"nov 19, 2004",40.63
"nov 26, 2004",42.78
"dic 03, 2004",41.31
"dic 10, 2004",37.6
"dic 17, 2004",39.98
"dic 24, 2004",41.15
"dic 31, 2004",39.79
"ene 07, 2005",42.07
"ene 14, 2005",44.59
"ene 21, 2005",45.08
"ene 28, 2005",45.82
"feb 04, 2005",44.04
"feb 11, 2005",43.29
"feb 18, 2005",45.22
"feb 25, 2005",48.23
"mar 04, 2005",51.33
"mar 11, 2005",53.09
"mar 18, 2005",54.85
"mar 25, 2005",53.76
"abr 01, 2005",52.23
"abr 08, 2005",53.79
